RUN,EXP,TRTNUM,ROTNUM,REPNO,YEAR,DOY,DAS,DAP,L#SD,GSTD,LAID,LWAD,SWAD,GWAD,RWAD,VWAD,CWAD,G#AD,GWGD,HIAD,PWAD,P#AD,WSPD,WSGD,NSTD,PST1A,PST2A,KSTD,EWSD,LN%D,SH%D,HIPD,PWDD,PWTD,SLAD,CHTD,CWID,NWAD,RDPD,SNW0C,SNW1C,RL1D,RL2D,RL3D,RL4D,RL5D,RL6D,RL7D,RL8D,RL9D
1,UFGA8501,1,0,1,1985,194,24,23,4.342796,0,.2897767,88,22,0,52,111,111,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.504869,.000000,.000000,0,0,328.4367,.2355906,.2523726,15.56899,.6236578,1,9,.7960248E-01,.1658192,.7614765E-01,.2995344E-01,.1758104E-01,.4222979E-03,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,195,25,24,4.544238,0,.3105814,102,26,0,62,128,128,0,.000000,.000000,0,0,.000000,.2739036,.1464872,.000000,.000000,.000000,.000000,4.377445,.000000,.000000,0,0,303.5067,.2466492,.2644214,17.67105,.6457783,2,10,.7822222E-01,.1931861,.8988791E-01,.3832528E-01,.2616741E-01,.2158909E-02,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,196,26,25,4.828791,0,.3565614,115,34,0,71,149,149,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.399123,.000000,.000000,0,0,309.8681,.2578653,.2766159,20.67512,.6685511,2,11,.9775950E-01,.2106788,.9871165E-01,.4379664E-01,.3185499E-01,.3931264E-02,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,197,27,26,5.112447,0,.4069696,128,44,0,80,172,172,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.492148,.000000,.000000,0,0,317.5287,.2737477,.2938477,22.61321,.6913359,2,12,.1177129,.2286303,.1077615,.4939603E-01,.3766609E-01,.6363897E-02,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,198,28,27,5.381952,0,.4501348,142,54,0,91,196,196,0,.000000,.000000,0,0,.000000,.6676763E-01,.000000,.000000,.000000,.000000,.000000,4.561685,.000000,.000000,0,0,316.9549,.2888259,.3101745,26.35466,.7146139,3,14,.1138226,.2569954,.1219974,.5805701E-01,.4653879E-01,.1095640E-01,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,199,29,28,5.664559,0,.5160241,155,64,0,99,219,219,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.642876,.000000,.000000,0,0,333.5648,.3040385,.3266128,27.15263,.7374769,3,15,.1322225,.2728664,.1300069,.6303219E-01,.5171741E-01,.1431115E-01,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,200,30,29,5.948414,0,.5877200,168,75,0,108,244,244,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.715091,.000000,.000000,0,0,349.2173,.3200890,.3439209,28.01381,.7605249,4,17,.1513453,.2894941,.1383918,.6822569E-01,.5711165E-01,.1841632E-01,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,201,31,30,6.238095,0,.6573578,187,91,0,121,279,279,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.734468,.000000,.000000,0,0,351.0678,.3364941,.3615742,32.77615,.7840615,5,19,.1573121,.3159032,.1516481,.7629570E-01,.6538288E-01,.2545318E-01,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,202,32,31,6.465158,0,.6920986,204,106,0,144,310,310,0,.000000,.000000,0,0,.000000,.2101255,.000000,.000000,.000000,.000000,.000000,4.801117,.000000,.000000,0,0,339.5114,.3496697,.3757294,36.80427,.8074182,5,21,.2028206,.3585624,.1729943,.8913537E-01,.7841862E-01,.3768174E-01,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,203,33,32,6.749360,0,.7600932,226,125,0,159,351,351,0,.000000,.000000,0,0,.000000,.2528650E-01,.000000,.000000,.000000,.000000,.000000,4.862791,.000000,.000000,0,0,336.6746,.3625985,.3895912,39.92221,.8311087,6,24,.1960822,.3918601,.1896780,.9922161E-01,.8870015E-01,.4864470E-01,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,204,34,33,7.033762,0,.8426454,251,148,0,176,399,399,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.888097,.000000,.000000,0,0,336.1890,.3789484,.4070856,44.90036,.8542164,7,27,.1896556,.4253415,.2064489,.1093493,.9901483E-01,.6079363E-01,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,205,35,34,7.317268,0,.9344512,276,173,0,192,450,450,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.950344,.000000,.000000,0,0,338.1896,.3953475,.4245978,46.51284,.8772513,8,30,.2224203,.4539301,.2207812,.1180325,.1078812,.7239376E-01,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,206,36,35,7.606863,0,1.042199,296,193,0,205,489,489,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.985144,.000000,.000000,0,0,352.1171,.4123726,.4424120,47.74063,.9007809,9,34,.2464686,.4737880,.2307660,.1241499,.1141823,.8177215E-01,.000000,.000000,.000000
1,UFGA8501,1,0,1,1985,207,37,36,7.889293,0,1.157290,318,216,0,218,534,534,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.017578,.000000,.000000,0,0,364.4305,.4295133,.4603721,49.09516,.9237283,10,38,.2725784,.4958852,.2418618,.1309138,.1211222,.9190367E-01,.3177710E-03,.000000,.000000
1,UFGA8501,1,0,1,1985,208,38,37,8.179429,0,1.259084,348,250,0,238,598,598,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.002953,.000000,.000000,0,0,361.7245,.4461580,.4780348,57.42014,.9473019,12,42,.2635469,.5331563,.2605151,.1421413,.1325272,.1078172,.1278242E-02,.000000,.000000
1,UFGA8501,1,0,1,1985,209,39,38,8.464452,0,1.365619,379,286,0,259,666,666,0,.000000,.000000,0,0,.000000,.1753992E-01,.000000,.000000,.000000,.000000,.000000,5.044305,.000000,.000000,0,0,359.9037,.4628517,.4957056,60.25307,.9708734,13,46,.3027560,.5674769,.2776974,.1524964,.1430566,.1225776,.2633512E-02,.000000,.000000
1,UFGA8501,1,0,1,1985,210,40,39,8.757795,0,1.495010,411,325,0,277,736,736,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.081157,.000000,.000000,0,0,363.8385,.4795773,.5133643,62.08783,.9947076,15,51,.3373448,.5972123,.2925956,.1615015,.1522348,.1355833,.4267239E-02,.000000,.000000
1,UFGA8501,1,0,1,1985,211,41,40,9.040687,0,1.632096,441,363,0,294,804,804,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.109362,.000000,.000000,0,0,370.0304,.4962118,.5308824,63.83768,1.017692,17,56,.3690979,.6243706,.3062056,.1697350,.1606322,.1475187,.6156721E-02,.000000,.000000
1,UFGA8501,1,0,1,1985,212,42,41,9.310857,0,1.772389,473,406,0,312,879,879,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.125761,.000000,.000000,0,0,374.9145,.5116359,.5470857,67.12827,1.039644,19,61,.4016402,.6526024,.3203449,.1782687,.1693196,.1597622,.8450180E-02,.000000,.000000
1,UFGA8501,1,0,1,1985,213,43,42,9.588161,0,1.906397,511,459,0,333,969,969,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.090805,.000000,.000000,0,0,373.3786,.5266100,.5627760,78.54007,1.062175,21,66,.4393200,.6859327,.3370240,.1883035,.1795094,.1739568,.1150983E-01,.000000,.000000
1,UFGA8501,1,0,1,1985,214,44,43,9.877594,0,2.039200,549,515,0,353,1064,1064,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.091705,.000000,.000000,0,0,371.3646,.5423783,.5792537,85.42855,1.085691,23,72,.4756551,.7178067,.3529799,.1979161,.1892811,.1876372,.1494371E-01,.000000,.000000
1,UFGA8501,1,0,1,1985,215,45,44,10.16603,0,2.197861,584,568,0,370,1151,1151,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.109070,.000000,.000000,0,0,376.6217,.5587894,.5962962,87.31384,1.109126,26,78,.5059522,.7437385,.3659749,.2057765,.1972973,.1990259,.1827534E-01,.000000,.000000
1,UFGA8501,1,0,1,1985,216,46,45,10.45298,0,2.356989,622,630,0,389,1252,1252,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.126624,.000000,.000000,0,0,378.7346,.5749124,.6131447,89.36523,1.132441,29,85,.5388551,.7723769,.3803158,.2144273,.2061000,.2114077,.2227019E-01,.000000,.000000
1,UFGA8501,1,0,1,1985,217,47,46,10.73379,0,2.504558,664,697,0,408,1361,1361,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.133722,.000000,.000000,0,0,377.2339,.5905046,.6294506,94.26723,1.155257,32,92,.5386738,.8069309,.3975997,.2248082,.2166271,.2259791,.2732018E-01,.000000,.000000
1,UFGA8501,1,0,1,1985,218,48,47,11.02417,0,2.665684,707,766,0,428,1472,1472,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.148324,.000000,.000000,0,0,377.2930,.6060829,.6457545,96.51869,1.178850,35,100,.5208176,.8434079,.4158424,.2357580,.2277254,.2413041,.3314060E-01,.000000,.000000
1,UFGA8501,1,0,1,1985,219,49,48,11.31452,0,2.837960,748,833,0,448,1582,1582,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.158784,.000000,.000000,0,0,379.2749,.6220821,.6625121,98.73946,1.202441,39,108,.5563093,.8730456,.4306777,.2446929,.2368061,.2540035,.3856210E-01,.000000,.000000
1,UFGA8501,1,0,1,1985,220,50,49,11.59188,1,3.012354,779,885,0,462,1664,1664,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.157196,.000000,.000000,0,0,386.8890,.6404949,.6788413,100.4277,1.224977,43,116,.5813942,.8926397,.4405066,.2506613,.2429112,.2627971,.4251254E-01,.1781416E-03,.000000
1,UFGA8501,1,0,1,1985,221,51,50,11.87392,1,3.183619,822,957,0,482,1778,1778,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.171418,.000000,.000000,0,0,387.4493,.6556357,.6943896,102.7440,1.247893,46,124,.6166931,.9224521,.4554242,.2596337,.2520202,.2754727,.4782096E-01,.6243690E-03,.000000
1,UFGA8501,1,0,1,1985,222,52,51,12.16709,1,3.348744,859,1020,0,498,1879,1879,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.179554,.000000,.000000,0,0,389.7474,.6723592,.7105137,104.8082,1.271713,49,133,.6460479,.9462044,.4673254,.2668288,.2593549,.2858739,.5235178E-01,.1214180E-02,.000000
1,UFGA8501,1,0,1,1985,223,53,52,12.45178,1,3.502232,907,1101,0,520,2007,2007,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.192104,.000000,.000000,0,0,386.3344,.6878800,.7268217,107.3643,1.294844,53,142,.6847064,.9795222,.4839867,.2768263,.2694853,.2998457,.5809072E-01,.2174097E-02,.000000
1,UFGA8501,1,0,1,1985,224,54,53,12.75435,1,3.650337,952,1180,0,541,2132,2132,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.201888,.000000,.000000,0,0,383.3036,.7036001,.7432130,109.9164,1.319427,56,151,.7208748,1.010116,.4992944,.2860317,.2788295,.3128398,.6352469E-01,.3343763E-02,.000000
1,UFGA8501,1,0,1,1985,225,55,54,13.05562,1,3.800724,993,1253,0,559,2247,2247,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.206516,.000000,.000000,0,0,382.5627,.7211705,.7600000,112.1941,1.343906,60,162,.7525514,1.036346,.5124276,.2939494,.2868829,.3241443,.6834685E-01,.4625223E-02,.000000
1,UFGA8501,1,0,1,1985,226,56,55,13.33596,1,3.945082,1030,1320,0,575,2349,2349,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.207554,.000000,.000000,0,0,383.1288,.7395587,.7600000,114.2610,1.366684,65,171,.7800895,1.058911,.5237296,.3007718,.2938291,.3339399,.7256559E-01,.5945834E-02,.000000
1,UFGA8501,1,0,1,1985,227,57,56,13.62282,1,4.083306,1076,1404,0,596,2479,2479,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.212916,.000000,.000000,0,0,379.6208,.7545788,.7600000,116.9240,1.389991,69,182,.8163321,1.090155,.5393537,.3101466,.3033284,.3470397,.7794499E-01,.7809980E-02,.000000
1,UFGA8501,1,0,1,1985,228,58,57,13.92236,1,4.201821,1123,1492,0,618,2614,2614,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.220032,.000000,.000000,0,0,374.3074,.7698315,.7600000,119.7254,1.414328,75,193,.8532379,1.121935,.5552464,.3196837,.3129931,.3603743,.8342684E-01,.9973930E-02,.000000
1,UFGA8501,1,0,1,1985,229,59,58,14.21142,1,4.329086,1166,1575,0,638,2741,2741,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.221680,.000000,.000000,0,0,371.2507,.7862971,.7600000,122.3625,1.437814,80,204,.8869682,1.150811,.5696894,.3283569,.3217872,.3725388,.8845592E-01,.1220774E-01,.000000
1,UFGA8501,1,0,1,1985,230,60,59,14.50439,1,4.448743,1210,1661,0,658,2870,2870,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,5.221637,.000000,.000000,0,0,367.7625,.8019887,.7600000,125.0407,1.461618,85,216,.9203315,1.179343,.5839609,.3369281,.3304787,.3845670,.9343360E-01,.1466481E-01,.000000
